text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
"#ForaBolsonaroGenocida
https://t.co/ajesCuW1ry

👉🏿 Os Militares estão Tomando um merecido PÉ NO RABO DO BOLSONARO!!!

👉🏿 BOLSONARO AGE COMO O COVID-19, SÓ CONSIDERA QUEM ESTIVER DISPOSTO A MORRER POLITICAMENTE COM ELE, QUEM DEFENDE A VACINA, ESTA FORA!!!😏",50467877,1359339452460650503,2021-02-10 03:12:35,Twitter for Android,1359339452460650503,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#ForaBolsonaroGenocida 

Deu Ruim para Todo Mundo Gente, o GOLPE CONTRA A DILMA E O PT, Todo NÓS ESTAMOS PAGANDO UM PREÇO MUITO ALTO NO CUSTO DE VIDA, PERDA DE VIDAS P/ COVID-19, E SEM PERSPESCTIVA DE UM FUTURO MELHOR!😏 https://t.co/0qZdJ1ykr2",50467877,1363151966118043653,2021-02-20 15:42:09,Twitter for Android,1363151966118043653,d100eefe651e2a8e,1.0,0.0,1.0,0.0,,,
"#ForaBolsonaroGenocida
250 mil mortes pela covid-19: uma doença cada vez mais contagiosa. 

 👉🏿 E a Câmara dos Deputados, reunidos, PASSANDO A BOIADA DA IMPUNIDADE, SE BLINDANDO CONTRA A PRISÃO EM FRAGRANTE DE DEPUTADOS!!!

Veja mais no UOL. Acesse: https://t.co/n9WjFzCPh8",50467877,1364690432874151940,2021-02-24 21:35:28,Twitter for Android,1364690432874151940,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"Hoje a minha avó emprestada, a dona Nilda, foi morta por essa merd* de Covid. 
Espero que todos os anti-vacinas, anti-máscara, e irresponsáveis do governo por não investir em vacina e saúde no geral, morram de Covid. Estou farta de ver pessoas boas morrerem.",1167588157,1434415438818070534,2021-09-05 07:17:46,Twitter for iPhone,1434415441687064579,6403b7e96cc202f9,0.0,1.0,0.0,0.0,861976772,replied_to,1434415440281968642
É normal se sentir febria sem estar com temperatura de febre? #Covid,1167588157,1479570181986918401,2022-01-07 21:46:35,Twitter for iPhone,1479570181986918401,3c465ed3fc434def,0.0,1.0,2.0,0.0,,,
"Se todo mundo estivesse se cuidando, se o presidente tivesse tomado as devidas providências ainda no ano passado, talvez estaríamos livre desse vírus maldito que está matando tanta gente.",1167588157,1434415438818070534,2021-09-05 07:17:45,Twitter for iPhone,1434415440281968642,6403b7e96cc202f9,0.0,1.0,0.0,0.0,103389130,replied_to,1434415438818070534
"Em Pernambuco, uma família descobre na hora que foram velar a avó que o corpo no caixão não era o dela. Voltando no hospital continuava constando que ela estava morta por COVID-19. Olharam vários corpos. Até que por insistência na procura acharam a senhora viva e internada. https://t.co/CW3tcmW5aQ",1167588157,1258121524877447171,2020-05-06 19:48:40,Twitter for iPhone,1258121524877447171,6403b7e96cc202f9,0.0,0.0,0.0,0.0,1088960639903555586,,
"Baita crítica contra o Bolsonaro, que está indo na contramão do mundo no combate ao COVID-19, tem feito tudo errado, e ainda tem demonstrado zero empatia e compaixão para com o povo brasileiro e está queimando a Constituição Brasileira #ForaBolsonaro https://t.co/NRFrTpgPQp",1167588157,1297824634470043648,2020-08-24 09:14:39,Twitter for iPhone,1297824634470043648,c44302d542084bfe,0.0,0.0,0.0,0.0,,,
"Para conseguir o seu PASSAPORTE DA VACINA, ou “Certificado Nacional de Vacinação Covid-19”, acessem o app gratuito “ConecteSUS” e criem o documento em PDF. Ele pode ser mostrado no celular ou impresso na entrada do evento
O documento tem validade em todo território nacional (+)",1167588157,1453619857199665154,2021-10-28 07:09:16,Twitter for iPhone,1453619862048215042,6403b7e96cc202f9,0.0,2.0,0.0,0.0,943132897711706112,replied_to,1453619860760670210
"@bcarepa Diz educadamente para ele se flagrar “com licença, poderia colocar a máscara corretamente, tapando o nariz? Vá que estejas com Covid, né? Nunca se sabe”",1167588157,1482687406197379072,2022-01-16 15:25:35,Twitter for iPhone,1482735793806450690,c44302d542084bfe,0.0,1.0,1.0,0.0,,replied_to,1482687406197379072
"Falou tudo! Falta respeito!
Quem não usa a máscara, não faz distanciamento social, e continua fazendo suas festinhas, não deveria ir pro hospital na hora que pegar COVID-19. Não é justo com quem foi contaminado por essa gentinha sem respeito com as outras. https://t.co/EPXd2FxIgJ",1167588157,1284204262931738633,2020-07-17 19:12:10,Twitter for iPhone,1284204262931738633,6403b7e96cc202f9,0.0,0.0,2.0,0.0,,,
"@larissaes Meu pai fica no hospital até sexta-feira, pois fez uma cirurgia para retirada de um câncer. Minha mãe e eu estamos visitando ele todos os dias.
Temos medo de acabar pegando Covid no hospital. Mesmo usando máscara, lavando as mãos, e tendo tomado as 3 vacinas.",1167588157,1495561188490502144,2022-02-21 11:22:15,Twitter for iPhone,1495720518091218945,6403b7e96cc202f9,0.0,0.0,0.0,0.0,,replied_to,1495561188490502144
"E é isso 
Boa noite 🌙💤😘 

#Vacina #Sintomas #covid https://t.co/deP3l2IdPn",1167588157,1413974258573840392,2021-07-11 05:10:10,Twitter for iPhone,1414089609185796097,6403b7e96cc202f9,0.0,0.0,0.0,0.0,1167588157,replied_to,1414041146108559361
